id,target
2714,0
7361,1
1290,0
1932,0
4041,0
2332,1
9616,1
2689,0
4349,1
7416,0
4646,0
1058,0
1543,0
10809,0
8711,0
5208,1
2057,1
6027,1
5717,1
1614,1
8126,1
4680,0
9039,0
3372,0
971,0
7903,0
8423,1
9654,0
5626,1
4227,1
6145,0
10126,0
2771,0
6128,0
4064,1
10368,0
3702,0
10278,0
5861,1
297,0
3227,0
3554,1
10770,1
6912,0
9460,1
2068,1
10709,0
6965,1
10054,0
191,0
6380,1
1831,0
5842,0
8557,0
4047,0
5226,1
732,0
432,1
10842,1
6903,1
10016,0
3938,0
5559,1
3398,0
992,0
6971,0
4765,1
7525,1
4257,0
384,0
6197,1
8621,0
8843,0
3393,0
7590,1
7583,1
10305,1
7907,0
5310,0
1760,1
7759,1
1110,0
4959,0
2429,0
6397,1
9663,0
10087,1
3139,1
5689,1
6900,0
8138,0
3837,1
3773,0
8496,0
320,1
646,1
3710,0
2587,0
3819,1
946,1
9828,1
9384,0
1556,1
923,1
7131,0
7941,1
10125,0
10479,1
8020,1
4511,0
1130,0
5172,1
8130,0
2443,1
7320,0
4493,0
7973,1
260,0
1307,0
2934,0
10159,1
9770,0
6841,0
10191,1
637,0
1776,1
8016,1
5819,1
10045,0
8253,0
6549,0
4779,1
6396,1
8965,0
9878,0
1860,0
2046,0
4529,0
2195,1
26,0
517,0
6318,0
8511,0
7231,1
7290,1
6634,0
1673,1
9142,1
6376,1
3357,0
129,1
10754,1
6003,1
6301,0
1887,1
9787,0
6567,0
10455,1
5647,0
5302,0
10239,1
4252,1
2373,0
674,1
2460,0
8103,1
1407,0
1066,0
2898,0
2139,0
10106,1
5306,0
1406,0
7430,0
6974,0
3585,0
8122,1
4538,0
7383,0
10848,0
7261,1
9915,0
5202,1
5719,1
1573,1
7043,0
10557,0
1036,0
2557,1
2432,1
8885,0
5898,0
1600,1
3833,0
8256,1
7929,1
2398,1
4330,1
1513,0
2340,1
4632,1
10179,1
205,1
1128,0
6575,0
7944,1
4442,0
9765,1
577,0
4757,1
6009,0
4239,0
7446,1
2113,0
795,0
9776,0
3058,1
6059,1
7617,0
10833,0
5982,0
6821,0
1456,0
1004,0
2625,1
10102,1
10517,1
6602,0
7659,0
8388,0
735,0
10825,0
3824,1
8414,0
9278,0
7012,0
5181,1
5684,0
2539,1
6661,1
178,0
6772,1
10338,0
6127,0
8952,1
2220,0
2542,0
10678,0
3842,1
636,0
4856,0
5575,0
8213,0
3336,0
9684,1
798,0
576,1
7720,0
1328,0
5372,1
10302,0
3452,1
6200,0
496,0
6863,1
8642,0
9093,0
4025,1
8775,0
1124,0
1963,1
4844,0
9391,1
9785,0
6921,1
2995,1
10707,0
